Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,276.790009,278.279999,272.339996,272.869995,271.425201,57760300
2022-10-28,272.230011,281.700012,272.059998,281.220001,279.730988,62651300
2022-10-31,278.920013,279.760010,275.989990,277.950012,276.478333,47742000
2022-11-01,281.500000,282.070007,274.739990,275.109985,273.653320,45895900
2022-11-02,275.079987,278.209991,265.609985,265.679993,264.273254,79803100
2022-11-03,263.010010,264.500000,260.100006,260.489990,259.110748,70038900
2022-11-04,265.529999,266.609985,259.079987,264.679993,263.278564,78313200
2022-11-07,265.750000,268.140015,263.570007,267.589996,266.173126,47333800
2022-11-08,269.140015,272.850006,265.519989,269.540009,268.112823,63213800
2022-11-09,267.760010,268.559998,263.029999,263.320007,261.925781,64862100
2022-11-10,276.010010,283.049988,273.850006,282.750000,281.252869,99256700
2022-11-11,282.559998,288.640015,281.190002,287.959991,286.435272,66961800
2022-11-14,285.859985,289.209991,284.440002,285.440002,283.928650,55290700
2022-11-15,292.209991,293.260010,285.970001,289.390015,287.857727,73985400
2022-11-16,287.390015,289.480011,284.600006,285.440002,283.928650,48859800
2022-11-17,280.880005,286.320007,280.720001,284.809998,283.301941,55462100
2022-11-18,287.890015,287.989990,282.320007,284.820007,283.311920,53588600
2022-11-21,283.399994,284.579987,281.040009,281.890015,280.397461,40083500
2022-11-22,282.640015,286.109985,280.459991,285.950012,284.435944,41873400
2022-11-23,285.970001,289.459991,285.790009,288.820007,287.290741,46390000
2022-11-25,287.190002,287.910004,286.420013,286.920013,285.400818,15498800
2022-11-28,284.899994,286.959991,281.760010,282.709991,281.213074,38714200
2022-11-29,282.940002,283.350006,279.170013,280.570007,279.084412,35618900
2022-11-30,280.839996,293.470001,279.970001,293.359985,291.806671,74718100
2022-12-01,293.690002,295.750000,290.880005,293.720001,292.164795,51547300
2022-12-02,288.540009,293.450012,288.359985,292.549988,291.001007,53583200
2022-12-05,290.380005,291.679993,286.149994,287.640015,286.117035,41482100
2022-12-06,287.480011,287.619995,280.260010,281.679993,280.188538,53937600
2022-12-07,280.470001,282.570007,278.779999,280.529999,279.044617,45614300
2022-12-08,281.910004,284.839996,279.790009,283.850006,282.347046,42594900
2022-12-09,282.809998,285.640015,281.589996,282.040009,280.546631,47860500
2022-12-12,282.220001,285.640015,281.160004,285.579987,284.067902,35732500
2022-12-13,296.649994,296.880005,285.910004,288.649994,287.121643,80667700
2022-12-14,288.049988,291.410004,283.190002,286.510010,284.992981,64984400
2022-12-15,282.329987,283.010010,275.670013,276.890015,275.423920,60554100
2022-12-16,276.200012,277.769989,272.609985,274.250000,272.797882,68300400
2022-12-19,273.869995,273.959991,268.489990,269.750000,268.964111,44167900
2022-12-20,268.559998,271.320007,266.950012,269.540009,268.754700,51064200
2022-12-21,270.600006,274.779999,269.739990,273.450012,272.653351,46394700
2022-12-22,270.380005,270.510010,262.459991,266.760010,265.982819,60278400
2022-12-23,265.470001,268.040009,263.529999,267.359985,266.581055,39373600
2022-12-27,266.739990,266.850006,263.029999,263.579987,262.812073,38009000
2022-12-28,263.170013,265.470001,259.730011,260.100006,259.342224,47139000
2022-12-29,262.959991,267.399994,262.250000,266.440002,265.663727,45893600
2022-12-30,263.619995,266.410004,262.290009,266.279999,265.504211,37858300
2023-01-03,268.649994,270.149994,262.130005,264.480011,263.709442,42335300
2023-01-04,266.640015,267.450012,262.529999,265.739990,264.965790,47754900
2023-01-05,264.040009,264.209991,261.260010,261.579987,260.817902,45396700
2023-01-06,263.350006,269.940002,260.339996,268.799988,268.016846,54659700
2023-01-09,270.829987,275.290009,269.920013,270.540009,269.751801,45568700
2023-01-10,269.489990,272.940002,268.970001,272.829987,272.035126,35247800
2023-01-11,273.920013,277.660004,273.119995,277.549988,276.741364,44077000
2023-01-12,278.119995,280.100006,273.739990,279.049988,278.236969,60600000
2023-01-13,276.500000,281.220001,276.160004,280.970001,280.151398,44802900
2023-01-17,280.769989,282.850006,279.579987,281.540009,280.719757,36269700
2023-01-18,283.109985,284.690002,277.670013,277.880005,277.070435,47754500
2023-01-19,276.220001,277.380005,273.890015,275.149994,274.348358,44150400
2023-01-20,276.790009,283.019989,275.709991,282.679993,281.856415,60613600
2023-01-23,283.540009,290.209991,282.730011,288.959991,288.118134,52799900
2023-01-24,287.309998,289.549988,286.779999,288.369995,287.529846,44875100
2023-01-25,283.769989,288.359985,281.179993,287.730011,286.891724,50872000
2023-01-26,291.220001,293.519989,288.519989,293.339996,292.485382,51596300
2023-01-27,292.000000,298.260010,291.880005,296.260010,295.396881,56441900
2023-01-30,292.929993,294.380005,289.890015,290.269989,289.424316,49405800
2023-01-31,290.309998,294.720001,290.200012,294.619995,293.761627,46705100
2023-02-01,294.410004,303.429993,292.299988,300.920013,300.043304,67562200
2023-02-02,307.570007,313.679993,306.730011,311.720001,310.811829,83070600
2023-02-03,304.940002,312.390015,304.540009,306.179993,305.287964,76170800
2023-02-06,303.510010,305.910004,302.220001,303.589996,302.705505,40802300
2023-02-07,303.459991,311.029999,302.320007,309.880005,308.977203,67584000
2023-02-08,308.540009,309.500000,303.670013,304.369995,303.483246,56720900
2023-02-09,308.839996,308.989990,300.200012,301.679993,300.801086,49137800
2023-02-10,299.480011,301.570007,297.250000,299.700012,298.826843,50050100
2023-02-13,301.130005,305.100006,299.929993,304.500000,303.612854,39636700
2023-02-14,302.890015,307.720001,300.910004,306.750000,305.856293,64079100
2023-02-15,304.899994,309.269989,304.200012,309.100006,308.199463,43100600
2023-02-16,304.380005,308.429993,303.149994,303.299988,302.416351,59498600
2023-02-17,301.070007,301.929993,298.100006,301.160004,300.282593,58230700
2023-02-21,297.260010,298.730011,293.890015,294.029999,293.173370,46526700
2023-02-22,294.619995,296.359985,292.559998,294.250000,293.392731,51389200
2023-02-23,297.970001,298.130005,292.549988,296.820007,295.955261,69294400
2023-02-24,291.760010,292.970001,290.049988,291.850006,290.999725,74332000
2023-02-27,295.070007,296.489990,293.339996,293.940002,293.083618,48995000
2023-02-28,293.299988,296.119995,292.959991,293.559998,292.704712,48243100
2023-03-01,293.260010,293.929993,290.200012,291.200012,290.351624,58287000
2023-03-02,288.660004,294.429993,288.369995,293.609985,292.754578,53565900
2023-03-03,295.390015,299.920013,294.869995,299.679993,298.806885,60511500
2023-03-06,300.940002,304.000000,299.820007,300.019989,299.145905,56736300
2023-03-07,300.070007,301.010010,295.720001,296.339996,295.476624,65955800
2023-03-08,296.769989,298.429993,294.880005,297.820007,296.952332,50876300
2023-03-09,298.329987,300.980011,291.829987,292.660004,291.807343,71456700
2023-03-10,292.829987,294.350006,287.380005,288.549988,287.709320,98593600
2023-03-13,286.730011,294.470001,285.190002,290.690002,289.843109,97123600
2023-03-14,294.309998,297.929993,293.450012,297.369995,296.503632,73602500
2023-03-15,294.709991,299.269989,293.239990,298.929993,298.059082,83631500
2023-03-16,298.000000,307.179993,297.190002,306.809998,305.916107,98198100
2023-03-17,306.720001,309.149994,303.369995,305.359985,304.470337,89923700
2023-03-20,304.260010,306.299988,302.010010,305.970001,305.550873,56359500
2023-03-21,307.940002,310.799988,306.399994,310.339996,309.914886,49757000
2023-03-22,310.269989,315.250000,305.950012,306.119995,305.700653,75791900
2023-03-23,309.920013,314.149994,307.010010,309.750000,309.325684,74576000
2023-03-24,309.320007,310.989990,306.950012,310.890015,310.464142,57195200
2023-03-27,311.600006,312.700012,307.890015,308.760010,308.337067,50287400
2023-03-28,308.170013,308.200012,304.769989,307.119995,306.699280,48585900
2023-03-29,310.880005,313.350006,310.049988,312.720001,312.291626,53274300
2023-03-30,315.239990,316.320007,312.809998,315.679993,315.247559,58354800
2023-03-31,315.910004,321.170013,315.600006,320.929993,320.490387,62138100
2023-04-03,318.769989,320.420013,317.420013,320.149994,319.711456,47126800
2023-04-04,320.600006,321.630005,317.829987,319.070007,318.632935,45875400
2023-04-05,318.100006,319.059998,314.070007,315.920013,315.487244,62795700
2023-04-06,314.239990,318.549988,312.820007,318.049988,317.614319,46916500
2023-04-10,315.070007,317.920013,313.250000,317.869995,317.434570,45134700
2023-04-11,317.829987,317.890015,315.309998,315.829987,315.397339,40113600
2023-04-12,317.820007,318.420013,312.570007,313.040009,312.611206,62813300
2023-04-13,314.829987,319.649994,313.630005,319.170013,318.732819,54613800
2023-04-14,317.589996,320.359985,315.609985,318.570007,318.133606,56278300
2023-04-17,318.149994,319.200012,316.040009,318.839996,318.403229,43007000
2023-04-18,320.989990,321.420013,317.640015,318.859985,318.423187,46746900
2023-04-19,316.410004,319.790009,316.279999,318.709991,318.273407,38960100
2023-04-20,315.690002,319.269989,314.970001,316.279999,315.846741,62462100
2023-04-21,315.910004,317.399994,314.100006,316.609985,316.176270,59002300
2023-04-24,316.380005,317.739990,313.739990,315.950012,315.517212,44043100
2023-04-25,314.290009,314.970001,309.890015,309.989990,309.565369,57121600
2023-04-26,313.440002,314.940002,311.339996,311.869995,311.442780,55400500
2023-04-27,315.700012,320.859985,315.049988,320.350006,319.911194,65430400
2023-04-28,320.109985,322.649994,318.959991,322.559998,322.118134,59652500
2023-05-01,322.089996,323.630005,321.089996,322.190002,321.748657,41013400
2023-05-02,322.119995,322.450012,317.609985,319.380005,318.942505,56519400
2023-05-03,319.750000,322.470001,317.179993,317.290009,316.855377,59882100
2023-05-04,317.059998,318.230011,315.119995,316.170013,315.736908,50224500
2023-05-05,318.470001,323.760010,316.209991,322.890015,322.447723,51776000
2023-05-08,322.420013,324.040009,321.320007,323.690002,323.246613,36465800
2023-05-09,322.000000,322.880005,321.320007,321.640015,321.199432,31768800
2023-05-10,324.119995,326.010010,321.600006,325.140015,324.694641,60446600
2023-05-11,325.700012,326.750000,324.119995,326.200012,325.753174,44278500
2023-05-12,326.739990,327.170013,322.940002,325.029999,324.584747,48396200
2023-05-15,325.510010,327.029999,323.959991,326.790009,326.342346,33375600
2023-05-16,326.059998,328.899994,326.019989,327.160004,326.711853,40019200
2023-05-17,328.239990,331.709991,327.040009,331.119995,330.666412,47486100
2023-05-18,331.519989,337.489990,331.500000,337.269989,336.807983,64213500
2023-05-19,337.489990,338.209991,335.429993,336.510010,336.049042,61462400
2023-05-22,336.250000,338.670013,336.239990,337.640015,337.177490,43015900
2023-05-23,335.890015,337.059998,333.000000,333.359985,332.903351,48216700
2023-05-24,331.369995,332.910004,329.559998,331.649994,331.195679,62891200
2023-05-25,339.140015,341.010010,336.670013,339.720001,339.254639,66862800
2023-05-26,340.760010,349.250000,340.660004,348.399994,347.922729,63007000
2023-05-30,352.709991,353.929993,348.529999,349.980011,349.500610,72652200
2023-05-31,348.369995,350.600006,346.510010,347.989990,347.513306,65105400
2023-06-01,347.730011,353.359985,346.660004,352.010010,351.527802,50488600
2023-06-02,353.799988,355.829987,352.010010,354.649994,354.164185,53293500
2023-06-05,354.429993,357.500000,353.850006,354.899994,354.413849,47266200
2023-06-06,354.279999,355.820007,352.929993,354.839996,354.353912,41390400
2023-06-07,355.130005,357.119995,348.179993,348.820007,348.342194,69225900
2023-06-08,349.119995,353.619995,348.890015,353.149994,352.666229,47153900
2023-06-09,354.630005,357.660004,353.029999,354.500000,354.014404,53155900
2023-06-12,356.190002,360.589996,355.200012,360.489990,359.996185,44606500
2023-06-13,363.290009,364.109985,360.029999,363.260010,362.762390,57097800
2023-06-14,363.269989,366.190002,360.420013,365.899994,365.398773,69525600
2023-06-15,364.609985,371.769989,363.980011,370.260010,369.752808,71138800
2023-06-16,372.720001,372.850006,367.480011,367.929993,367.425995,80875900
2023-06-20,365.950012,368.320007,363.890015,366.899994,366.899994,49204700
2023-06-21,365.739990,366.179993,360.959991,361.899994,361.899994,53378300
2023-06-22,360.630005,366.329987,360.220001,366.170013,366.170013,47603000
2023-06-23,362.209991,364.880005,360.820007,362.540009,362.540009,48873900
2023-06-26,362.000000,364.839996,357.589996,357.679993,357.679993,52685500
2023-06-27,359.250000,364.570007,358.510010,363.829987,363.829987,49428100
2023-06-28,361.980011,366.519989,361.899994,364.540009,364.540009,46498000
2023-06-29,364.239990,364.890015,362.140015,363.809998,363.809998,46151000
2023-06-30,367.549988,370.489990,367.230011,369.420013,369.420013,58668800
2023-07-03,370.070007,370.929993,368.970001,370.290009,370.290009,19432900
2023-07-05,368.700012,372.010010,368.660004,370.279999,370.279999,34403400
2023-07-06,366.510010,366.959991,364.519989,365.065002,365.065002,14756643
